token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,liquidityUSD,id,volumeUSD
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002655874369123243054585800047939493,376.5238339681405512210091063149158,381179.985911538473269932,140681777.760924,10862571,61206830591102,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",7200,162557652582176238028201,1599678405,sushiv2,120943844.5405205461298048664768097,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,139472733.3169807610228190601120569
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002666261820004534608369115568749775,375.056940206382006272754287388577,398054.896899803611341424,147017250.775019,10864571,59952131200257,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",7538,159848078447147872723627,1599678405,sushiv2,118469702.6517498769098101347713057,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,145738336.0518327779251729344315865
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002659395029511279859807199085386075,376.0253700195007025909874778393359,408569.077638184688970682,150928012.359034,10866571,49033029291331,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",7780,130398194379246654535593,1599678405,sushiv2,97387121.24063057120825349114099599,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,149620124.7926935213450916573022582
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002732553275704124224242166722310708,365.9580981974889539899471560640334,416493.934225066782780198,153832823.161013,10868071,48112890500797,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",7985,131471036541546684160097,1599678405,uniswapv2,95569621.50408174074460186349151269,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,152509103.8654724894255586614772072
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002756234770773914755262453769549491,362.8137960538147662295001560985425,420779.762919407572678518,155394824.965835,10868571,47895746027205,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",8081,132011920572339011482607,1599678405,sushiv2,95078479.20407050023737294282890768,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,154063447.6730410363038655533813639
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002791675632598759990900625951797611,358.2078047760526850748960855375324,445211.965302373328894743,164133037.136898,10870571,55079971372208,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",8549,153765413924030358793086,1599678405,sushiv2,109459692.9479368590872515400231474,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,162761666.5036043695500438023808524
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002753090409533483616875061603504535,363.2281731603038396373709252669489,458228.860845219285519031,168828921.049864,10872571,54306403359125,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",8804,149510438264263996615627,1599678405,sushiv2,108577533.5151655805387184964337853,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,167446570.5540302548737550205146611
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.00271796991253837259787194766120603,367.9216592453290779838237936609751,475206.972460066721829046,175033418.322216,10874571,58541481070434,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9083,159113984184874294028969,1599678405,uniswapv2,116639688.0595514932702191122508254,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,173625706.1547394416050572538081157
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002637641301270380418810054231240826,379.1266081246016965190199242047591,494244.232847293237690567,182052617.506774,10876571,60637740417230,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9339,159940608540198077665936,1599678405,sushiv2,120914897.5083531272240083426840132,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,180622395.2692535289371623184196021
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002632201833738013832275093234721261,379.9100764928390309070938384972519,504571.263488541684941844,185965872.497281,10878571,59496285282275,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9457,156606231220604258917379,1599678405,sushiv2,118690313.1415262701789428585280746,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,184520148.2831690141592037965246652
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.00262932971567480403546719960340129,380.3250668938471682204752680837235,524337.667485345539766585,193404483.857955,10880571,58176232479717,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9586,152964496804925599336246,1599678405,sushiv2,116168166.7606735466542596763490317,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,191923667.1461006988009912919038571
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002620770522564130161994059591386893,381.5671732378965031527815872081795,525708.9889297514492306,193926215.155135,10881071,57347326732430,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9618,150294183448206482147952,1599678405,uniswapv2,114583176.1556935952745006194789311,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,192443376.8532145088707908794288624
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002579540815856147408621957314682066,387.6658953613419946120434572920645,532817.17884340280867642,196683326.651371,10882571,53524866914099,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9748,138069578868186645556026,1599678405,sushiv2,106782600.7943801025741950356480156,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,195188798.4932861060115945102728639
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002598125516915251173803662723455723,384.8928750706770489616700707602186,536654.313735611165837748,198166829.749988,10884571,42300352075318,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9869,109901624101382696503331,1599678405,sushiv2,84211163.60303220925792483745061961,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,196666896.0035276764837710186736741
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002606783447256371362060391259753101,383.614527341155170807479370050266,540923.494935840955256445,199812969.189739,10886571,39041046398323,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",9965,101771553514716371200782,1599678405,sushiv2,77910882.30540947846508805404933028,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,198304554.4351509544768990448126959
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002638627883890577386274085491144194,378.9848527354793591459093943701296,543935.543134724723107821,200959281.777192,10887571,37902931153122,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10026,100011731021812545059200,1599678405,uniswapv2,75605025.65527936375372285444072836,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,199448184.8455797350117027687928793
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002644267060694519001505087236881164,378.1766277939222773028092246138479,546818.413167310713982113,202046763.624608,10888571,40948710420741,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10092,108279326143483824565794,1599678405,sushiv2,81676314.32955302821484313267091668,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,200531435.5910619170652279968803282
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002612784329562181083143790875100845,382.7334650952870461882486475605271,550241.359005856432992621,203356169.609522,10890571,36868483894051,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10229,96329396973092113336206,1599678405,sushiv2,73297311.18559556909351767338976811,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,201832962.4505164295054444089675895
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002605504103919714952607776766386029,383.8028880843450143570082011571803,552801.011292313628786797,204330392.961064,10892571,37671444244859,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10338,98153102580562851714804,1599678405,sushiv2,75187443.07784209610724921788061826,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,202804327.3021584417523840505237139
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002589977830461487432569964716639162,386.1036910195551746964562008632042,555707.929012972718704847,205451048.622448,10894071,36783094753356,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10462,95267399946956294057184,1599678405,uniswapv2,73115865.54108337310784756260199216,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,203919659.9971420692024069689104104
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002610125109434601063781228424610167,383.1233975664168685862623635253387,559823.523889730998052307,207030385.928719,10894571,36635634467733,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10549,95623589424297639319874,1599678405,sushiv2,73106874.68105489854531692506835894,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,205493813.5408598710970588467894738
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002614509033746616770579856981306597,382.4809886263771342126333727531067,567820.138208777253786413,210099569.708289,10896571,39625820855679,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10737,103602066596797837247250,1599678405,sushiv2,78849143.05590064972436746734734096,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,208552159.5955736167513429611219997
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002644373217807174400231347401730259,378.1614460719890741414294071221581,570059.333500587343288807,210949653.669268,10898571,34889549000473,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10828,92260988958221872320440,1599678405,sushiv2,69670602.97324429048148627700335555,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,209400279.5455453274444277717801806
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002697507898768047680844815253234429,370.7125382122885242302845130084263,575548.344031503997471956,212982468.082679,10900571,35992215625068,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",10976,97089285942783674526364,1599678405,uniswapv2,71627190.85734992675715355848870988,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,211428910.6951724713589687210591397
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.0026937374609876909983834888199443,371.2314264038701313615896544183712,579195.582799531960440738,214330386.665068,10902571,38454825884259,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11112,103587205040187578012427,1599678405,sushiv2,76606853.00316898703533262816139297,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,212773270.675875857039169144271641
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002712533320299970045612915466577947,368.6590658688805795741145347775162,581925.730749994635983027,215345466.247758,10904571,38587170074223,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11197,104668984562411755777598,1599678405,sushiv2,77065612.7987071668275002258030225,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,213785606.0687961507095889373500025
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002959370924364580421318336172882687,337.9096522733845568480137522918448,592828.201729451642385777,219153870.405977,10906571,37039252566868,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11387,109612887106585311252177,1599678405,sushiv2,73967741.89772085941296829327037169,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,217584073.8296508259879701784459365
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002947260228110987888828767495216328,339.2981693513159342576490739694605,598112.825703475625685777,220927190.600411,10907071,37117946628274,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11427,109396247846658303020403,1599678405,uniswapv2,74105172.40952015477313770547016009,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,219352356.0429884524343764459953644
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002880950546403420947655901638887838,347.1076590496841868550265641549862,602519.331772739113996752,222445835.871912,10908571,37575513972464,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11538,108253197510359539220773,1599678405,sushiv2,75001060.73148816181573072378170981,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,220865082.4678016089305923519354114
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002903248453602218484914217786875764,344.4417575627210044428766773833064,606531.203091248965656869,223821678.752567,10910571,35268403769420,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11652,102392938704587268390623,1599678405,sushiv2,70291040.23668977468685515765642013,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,222236722.5599564995699069161705798
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002923870260930897150295830187145579,342.0124392529036479661536900660571,612386.775608845806851659,225807536.587293,10912571,35142642865023,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11775,102752528363556130012894,1599678405,sushiv2,70088394.79322108851804385701789723,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,224215177.7539735935981670811212143
"{'id': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48', 'symbol': 'USDC', 'decimals': '6'}",0.002917969845102813998298984506628027,342.7040213175216104178777704429908,614421.178587683421191379,226502557.394549,10913571,35142278586482,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",11834,102544109203556818806103,1599678405,uniswapv2,69900447.69456456971981618079873491,0x397ff1542f962076d0bfe58ea045ffa2d347aca0,224907926.2660669744850307297246316
