token0,volumeToken1,token0Price,token1Price,blockNumber,volumeToken0,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,liquidityUSD,id,volumeUSD
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",90026104.212678,0.002739842905716107563614535878614527,364.9844295502160878079809266079687,10842071,246030.440085575779208669,310536821851840273329459,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",4247,113341104777931,1599581639,uniswapv2,224466415.1533334916058202980259507,0x06da0fd433c1a5d7a4faa01111c044910a184553,89171404.45712749909616921577722811
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",91105475.495132,0.002718447702249418970041724966242333,367.8569939648040679660842459940403,10842571,248974.18868580471842575,309947040518848677843039,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",4346,114016186613551,1599581639,sushiv2,225315102.1328833349040940330784885,0x06da0fd433c1a5d7a4faa01111c044910a184553,90238714.38728929188578073113287237
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",98986198.403361,0.002714540023546060245574460996287263,368.38653743394770234429995325494,10844571,270108.003049302073298683,317388792637712117815623,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",4786,116921758340148,1599581639,sushiv2,231958432.2864464624715396223351144,0x06da0fd433c1a5d7a4faa01111c044910a184553,98006628.9455553056354381205246254
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",105728091.934376,0.002691760818563303808285077159667987,371.5040330120186642121873928495281,10846571,288318.966266200758585739,350184096046844947541026,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",5306,130094803978071,1599581639,sushiv2,256918874.5434915457147355032435577,0x06da0fd433c1a5d7a4faa01111c044910a184553,104661895.405754221588446196573102
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",114866180.409051,0.002671449486119695014131177165951544,374.3286201726049520813346198212041,10848571,313004.760588256682003921,354908669460331422466573,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",5842,132852472526381,1599581639,uniswapv2,262465029.0221120928788226637022577,0x06da0fd433c1a5d7a4faa01111c044910a184553,113704271.1041550350220619496488422
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",124137651.77906,0.002599472258020023613387106581154487,384.6934688049658142218590349565643,10850571,337148.602933260881945714,336436147904027843458908,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",6270,129424788768581,1599581639,sushiv2,257081483.9168464157995732009851334,0x06da0fd433c1a5d7a4faa01111c044910a184553,122857231.6026950848606141669192745
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",131484063.873675,0.002587067698208089638459224713445716,386.5380100770619436771754788162193,10852571,356183.163895822958391068,212856575088343468729571,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",6767,82277156966467,1599581639,sushiv2,163266981.8147001800178302924680004,0x06da0fd433c1a5d7a4faa01111c044910a184553,130144439.0500871345775769023620183
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",145624976.532657,0.002765917911978111636493141014694887,361.5436292123457633473646144838144,10854571,394022.832631139870626868,212408448243976568361003,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",7295,76794921253490,1599581639,sushiv2,153046077.7604214188852140036357627,0x06da0fd433c1a5d7a4faa01111c044910a184553,144184003.9971125335870576164261711
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",149425924.139731,0.002791050490916675684100391535552269,358.288036441636019665798768636906,10855071,404655.419639437157246642,207028174222733189945518,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",7460,74175718030360,1599581639,uniswapv2,146682076.0460027768766352327805583,0x06da0fd433c1a5d7a4faa01111c044910a184553,147960043.0551822588493177809282366
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",153498218.340773,0.002738944076543799821582584242999438,365.1042051438571973178612719799612,10856571,415896.438047210717166711,203945890609851825103936,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",7650,74461502283466,1599581639,sushiv2,147609843.8013337559391983952324226,0x06da0fd433c1a5d7a4faa01111c044910a184553,151993622.1715483742690854674784287
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",157583981.509111,0.002714737721816690400397106386476833,368.35971002414349291395883165811,10858571,427138.957443418479724464,172216942719802557841575,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",7990,63437783081511,1599581639,sushiv2,125460980.2794041732353261123267283,0x06da0fd433c1a5d7a4faa01111c044910a184553,156041962.9124027270988824275412098
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",164461100.273696,0.002656276314038785737390146335179755,376.4668587807911520153828877819239,10860571,445778.703165434379876224,148335203531021542274984,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",8362,55843288119933,1599581639,sushiv2,109430918.98394459400978167685155,0x06da0fd433c1a5d7a4faa01111c044910a184553,162812689.8108481393214795337712888
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",167705223.526456,0.002650941631038807709131324400288185,377.2244504712600302623893016036262,10861571,454359.222944974272022986,151318968142177471513429,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",8542,57081214603311,1599581639,uniswapv2,112544771.8171663989040438400450523,0x06da0fd433c1a5d7a4faa01111c044910a184553,166007400.9491893842361432931257639
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",169975425.646855,0.002653181857218126278524582598530246,376.9059392892520107825474235670338,10862571,460403.82471257163297742,158215064900858392526777,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",8685,59632197646168,1599581639,sushiv2,117702668.1269703325478204197567634,0x06da0fd433c1a5d7a4faa01111c044910a184553,168249314.4550387925477327773559044
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",181973914.162814,0.002675440164010421497835771621457057,373.7702728141090857566986849057482,10864571,492363.388547826523126832,172201454136979175290243,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",9257,64363784491765,1599581639,sushiv2,127657258.3524779279599350134390476,0x06da0fd433c1a5d7a4faa01111c044910a184553,180119271.6540944620953628740059503
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",186185663.484263,0.00265527902616101601234499175095308,376.6082547813414018956295308061827,10866571,503659.626483903536757231,163928222811375484559350,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",9579,61736721902399,1599581639,sushiv2,122604508.1100376946801658214484302,0x06da0fd433c1a5d7a4faa01111c044910a184553,184293099.8065549111255041590897618
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",193416471.176613,0.002731694676544596929421001446703053,366.0731225148962077981622329381806,10868071,523287.9497592231975722,151447924176339933972806,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",9975,55441014501632,1599581639,uniswapv2,110063158.250454891831985413413059,0x06da0fd433c1a5d7a4faa01111c044910a184553,191473371.8383834847013993661226779
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",195268470.521985,0.002763172095224931224693659304082162,361.9029020045878601100734856183771,10868571,528417.41390459037132076,163017450248785511929268,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",10040,58996488322424,1599581639,sushiv2,117396149.1633830870546392592557627,0x06da0fd433c1a5d7a4faa01111c044910a184553,193313204.4511549009194807168199915
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",210847863.393355,0.002790576008756242568038425997296354,358.3489562234497878947179834567149,10870571,571947.926816077745784994,162070414561817225559750,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",10638,58077763892929,1599581639,sushiv2,115367785.1206105174841428656415932,0x06da0fd433c1a5d7a4faa01111c044910a184553,208803424.234877658362359942841511
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",216894808.263239,0.002736988468248801850621865047245726,365.3650761049156502739413156358132,10872571,588646.657420640933934136,155569193149791790548961,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",10950,56839550094754,1599581639,sushiv2,113061106.602403539921475476897065,0x06da0fd433c1a5d7a4faa01111c044910a184553,214803178.5219906218615123327993888
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",223653657.901476,0.002715129678751821670321816437834812,368.3065335058737355782297027598137,10874571,607035.011812396697336532,157219570307512706168952,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",11311,57904994939243,1599581639,uniswapv2,115406066.3852210143801801815761939,0x06da0fd433c1a5d7a4faa01111c044910a184553,221534330.0785111872565343905389656
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",227438043.793528,0.002629024452667611538892090778218552,380.3692274468282939793012124145631,10876571,617232.969514462896616926,153089221662719850514689,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",11571,58230428974285,1599581639,sushiv2,115734907.4864610715312107849373902,0x06da0fd433c1a5d7a4faa01111c044910a184553,225296189.5317558430743660918776082
"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",232741959.883203,0.00262561437174309073536531240468395,380.8632412901216764234823228333192,10878571,631146.634909021765933791,145077486324795719669217,"{'id': '0xdac17f958d2ee523a2206206994597c13d831ec7', 'symbol': 'USDT', 'decimals': '6'}",11739,55254681679885,1599581639,sushiv2,109900732.6099940886850626063567232,0x06da0fd433c1a5d7a4faa01111c044910a184553,230569941.6914872679292449180386241
