token0,token1Price,token0Price,volumeToken1,volumeToken0,blockNumber,reserve0,token1,txCount,reserve1,createdAtTimestamp,exchange,reserveUSD,id,volumeUSD
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004721035152988744735217411653869715,211.8179525452019160471610198708193,0.407002913809535153,100.411086958250732359,10068571,254.706569470518542839,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",24,1.202478668167487848,1589164213,univ2,260.3569931310336325811400471944875,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004721152208187555851700330726236718,211.8127007779523994759212883053097,0.416967386170307099,102.512996771266229537,10070571,254.706569470518542839,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",28,1.202508482895615717,1589164213,univ2,253.9538588545764189794383045212017,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004171552051694203794330369732846068,239.7189313732444683015827915650776,1.075055049811779103,284.936870779704710484,10072571,282.338055955518522013,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",42,1.177787896592596205,1589164213,univ2,196.9021500220430363900605243325842,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005558170859152724166066274884323216,179.9153040344711334158673611467557,3.809282673049717365,774.260621720350089198,10074571,337.006965033610873981,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",57,1.873142292381317023,1589164213,univ2,683.9169333393128124975056247963537,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005649562662639975961025746014481019,177.004851475124881103759234160579,3.824642761594450008,776.993503307725830876,10076571,337.006965033610873981,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",59,1.903941966703503925,1589164213,univ2,685.0955368099059043762717121632613,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005005628885420794209275343304277727,199.7750977729416302302903603231998,3.936271453090788137,798.046098068367743708,10078571,358.059559794252786813,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",60,1.792313275207165796,1589164213,univ2,715.2991888072296702665250391810452,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005015012276904643762661935298990671,199.4013064744116793526434227682471,3.93795309553057284,798.380727475364012597,10080571,367.724930387256517924,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",62,1.844145040415996936,1589164213,univ2,735.9762175865192917373521476460623,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005015012276904643762661935298990671,199.4013064744116793526434227682471,3.93795309553057284,798.380727475364012597,10082571,367.724930387256517924,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",62,1.844145040415996936,1589164213,univ2,735.9762175865192917373521476460623,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.005363145900728383943868738649577952,186.4577280778781693516542693795206,4.000982465230572856,810.498250304124270702,10084571,355.607407558496259819,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",63,1.907174410115996952,1589164213,univ2,722.4609342919340334270286950638353,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
"{'id': '0x6b175474e89094c44da98b954eedeac495271d0f', 'symbol': 'DAI', 'decimals': '18'}",0.004865946160901115405391550602426887,205.509877613362635998107052312003,4.091406611459537967,828.25096713109619723,10086571,373.360124385468186347,"{'id': '0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2', 'symbol': 'WETH', 'decimals': '18'}",64,1.816750263887031841,1589164213,univ2,742.2416676876516532690089261095789,0xa478c2975ab1ea89e8196811f51a7b7ade33eb11,0
